Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2012,218.288,219.058,219.384,219.670,220.409,220.560,220.567,221.312,221.553,222.051,222.271,222.386,220.626,219.562,221.690
2013,222.995,221.350,221.252,221.455,221.431,221.120,221.236,221.720,222.970,223.823,223.713,224.448,222.293,221.601,222.985
2014,224.588,225.305,226.581,226.503,227.220,228.098,228.304,229.902,230.004,230.089,231.745,231.812,228.346,226.383,230.309
2015,231.880,232.938,233.064,233.381,233.981,233.832,234.295,234.608,235.732,236.232,237.921,238.404,234.689,233.179,236.199
2016,240.923,242.695,242.309,242.399,242.937,243.144,243.944,243.992,244.226,244.766,244.783,246.083,243.517,242.401,244.632
2017,247.162,249.263,249.274,251.573,252.373,252.400,254.810,255.075,255.150,255.903,256.297,256.623,252.992,250.341,255.643
2018,257.892,258.638,259.111,260.662,260.832,261.902,262.209,262.795,263.212,263.691,267.031,267.322,262.108,259.840,264.377
2019,270.248,270.343,270.937,273.686,274.293,274.377,275.796,276.171,278.875,279.400,279.237,279.297,275.222,272.314,278.129
2020,283.693,286.037,285.087,286.872,287.618,288.908,291.494,291.598,293.217,293.824,294.116,294.816,289.773,286.369,293.178
2021,296.186,294.972,296.916,298.823,300.175,300.127,300.355,303.980,305.459,311.173,312.056,312.385,302.717,297.867,307.568
