10,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
11,2012,296.524,297.667,297.758,299.048,298.864,298.391,298.674,299.612,300.225,300.618,300.928,301.18,299.124,298.042,300.206
12,2013,300.539,300.876,301.879,300.769,301.014,301.285,301.897,302.438,302.548,304.225,304.563,306.233,302.356,301.06,303.651
13,2014,306.539,306.922,307.302,307.256,308.28,308.37,309.07,309.394,310.043,312,312.544,312.594,309.193,307.445,310.941
14,2015,313.39,314.303,314.775,315.462,316.138,316.707,317.375,317.514,318.487,316.693,317.259,317.682,316.315,315.129,317.502
15,2016,318.152,318.459,318.448,318.611,319.572,320.517,320.823,321.601,321.501,322.162,322.91,324.006,320.564,318.96,322.167
16,2017,324.122,324.536,325.456,325.946,326.344,326.19,326.802,327.425,327.228,327.373,327.416,327.825,326.389,325.432,327.345
17,2018,327.967,328.6,328.956,330.546,330.759,332.05,332.674,332.923,333.592,333.824,333.962,335.753,331.801,329.813,333.788
18,2019,336.17,337.223,338.145,339.766,339.926,340.425,341.823,343.261,344.312,344.573,345.97,345.494,341.424,338.609,344.239
19,2020,345.899,346.809,347.371,348.84,349.086,351.601,352.352,353.144,353.953,353.507,353.558,351.032,350.596,348.268,352.924
20,2021,351.575,351.015,351.106,352.615,353.503,354.398,355.378,355.879,357.572,357.92,360.114,365.373,355.537,352.369,358.706
21,2022,366.16,367.255
